"Year","Category","Nominee","Won"
"1942 (15th)","FILM EDITING","Mrs. Miniver","no"
"1942 (15th)","FILM EDITING","The Pride of the Yankees","yes"
"1942 (15th)","FILM EDITING","The Talk of the Town","no"
"1942 (15th)","FILM EDITING","This above All","no"
"1942 (15th)","FILM EDITING","Yankee Doodle Dandy","no"
"1943 (16th)","ACTOR","Casablanca ","no"
"1943 (16th)","ACTOR","For Whom the Bell Tolls ","no"
"1943 (16th)","ACTOR","Watch on the Rhine ","yes"
"1943 (16th)","ACTOR","Madame Curie ","no"
"1943 (16th)","ACTOR","The Human Comedy ","no"
"1943 (16th)","ACTOR IN A SUPPORTING ROLE","The Song of Bernadette ","no"
"1943 (16th)","ACTOR IN A SUPPORTING ROLE","The More the Merrier ","yes"
"1943 (16th)","ACTOR IN A SUPPORTING ROLE","Sahara ","no"
"1943 (16th)","ACTOR IN A SUPPORTING ROLE","Casablanca ","no"
"1943 (16th)","ACTOR IN A SUPPORTING ROLE","For Whom the Bell Tolls ","no"
"1943 (16th)","ACTRESS","The More the Merrier ","no"
"1943 (16th)","ACTRESS","For Whom the Bell Tolls ","no"
"1943 (16th)","ACTRESS","The Constant Nymph ","no"
"1943 (16th)","ACTRESS","Madame Curie ","no"
"1943 (16th)","ACTRESS","The Song of Bernadette ","yes"
"1943 (16th)","ACTRESS IN A SUPPORTING ROLE","The Song of Bernadette ","no"
"1943 (16th)","ACTRESS IN A SUPPORTING ROLE","So Proudly We Hail! ","no"
"1943 (16th)","ACTRESS IN A SUPPORTING ROLE","For Whom the Bell Tolls ","yes"
"1943 (16th)","ACTRESS IN A SUPPORTING ROLE","The Song of Bernadette ","no"
"1943 (16th)","ACTRESS IN A SUPPORTING ROLE","Watch on the Rhine ","no"
"1943 (16th)","DIRECTING","Casablanca","yes"
"1943 (16th)","DIRECTING","Heaven Can Wait","no"
"1943 (16th)","DIRECTING","The Human Comedy","no"
"1943 (16th)","DIRECTING","The More the Merrier","no"
"1943 (16th)","DIRECTING","The Song of Bernadette","no"
"1943 (16th)","FILM EDITING","Air Force","yes"
"1943 (16th)","FILM EDITING","Casablanca","no"
"1943 (16th)","FILM EDITING","Five Graves to Cairo","no"
"1943 (16th)","FILM EDITING","For Whom the Bell Tolls","no"
"1943 (16th)","FILM EDITING","The Song of Bernadette","no"
"1944 (17th)","ACTOR","Gaslight ","no"
"1944 (17th)","ACTOR","Going My Way ","yes"
"1944 (17th)","ACTOR","Going My Way ","no"
"1944 (17th)","ACTOR","None but the Lonely Heart ","no"
"1944 (17th)","ACTOR","Wilson ","no"
"1944 (17th)","ACTOR IN A SUPPORTING ROLE","The Seventh Cross ","no"
"1944 (17th)","ACTOR IN A SUPPORTING ROLE","Going My Way ","yes"
"1944 (17th)","ACTOR IN A SUPPORTING ROLE","Mr. Skeffington ","no"
"1944 (17th)","ACTOR IN A SUPPORTING ROLE","Laura ","no"
"1944 (17th)","ACTOR IN A SUPPORTING ROLE","Since You Went Away ","no"
"1944 (17th)","ACTRESS","Gaslight ","yes"
"1944 (17th)","ACTRESS","Since You Went Away ","no"
"1944 (17th)","ACTRESS","Mr. Skeffington ","no"
"1944 (17th)","ACTRESS","Mrs. Parkington ","no"
"1944 (17th)","ACTRESS","Double Indemnity ","no"
"1944 (17th)","ACTRESS IN A SUPPORTING ROLE","None but the Lonely Heart ","yes"
