"Year","Category","Nominee","Won"
1940,"ACTOR IN A SUPPORTING ROLE","The Great Dictator","no"
1940,"ACTOR IN A SUPPORTING ROLE","The Letter","no"
1940,"ACTRESS IN A LEADING ROLE","The Letter","no"
1940,"ACTRESS IN A LEADING ROLE","Rebecca","no"
1940,"ACTRESS IN A LEADING ROLE","The Philadelphia Story","no"
1940,"ACTRESS IN A LEADING ROLE","Kitty Foyle","yes"
1940,"ACTRESS IN A LEADING ROLE","Our Town","no"
1940,"ACTRESS IN A SUPPORTING ROLE","Rebecca","no"
1940,"ACTRESS IN A SUPPORTING ROLE","The Grapes of Wrath","yes"
1940,"ACTRESS IN A SUPPORTING ROLE","The Philadelphia Story","no"
1940,"ACTRESS IN A SUPPORTING ROLE","All This; and Heaven Too","no"
1940,"ACTRESS IN A SUPPORTING ROLE","Primrose Path","no"
1940,"DIRECTING","The Grapes of Wrath","yes"
1940,"DIRECTING","Kitty Foyle","no"
1940,"DIRECTING","The Letter","no"
1940,"DIRECTING","The Philadelphia Story","no"
1940,"DIRECTING","Rebecca","no"
1940,"FILM EDITING","The Grapes of Wrath","no"
1940,"FILM EDITING","The Letter","no"
1940,"FILM EDITING","The Long Voyage Home","no"
1940,"FILM EDITING","North West Mounted Police","yes"
1940,"FILM EDITING","Rebecca","no"
1941,"ACTOR IN A LEADING ROLE","Sergeant York","yes"
1941,"ACTOR IN A LEADING ROLE","Penny Serenade","no"
1941,"ACTOR IN A LEADING ROLE","All That Money Can Buy","no"
1941,"ACTOR IN A LEADING ROLE","Here Comes Mr. Jordan","no"
1941,"ACTOR IN A LEADING ROLE","Citizen Kane","no"
1941,"ACTOR IN A SUPPORTING ROLE","Sergeant York","no"
1941,"ACTOR IN A SUPPORTING ROLE","The Devil and Miss Jones","no"
1941,"ACTOR IN A SUPPORTING ROLE","How Green Was My Valley","yes"
1941,"ACTOR IN A SUPPORTING ROLE","Here Comes Mr. Jordan","no"
1941,"ACTOR IN A SUPPORTING ROLE","The Maltese Falcon","no"
1941,"ACTRESS IN A LEADING ROLE","The Little Foxes","no"
1941,"ACTRESS IN A LEADING ROLE","Hold Back the Dawn","no"
1941,"ACTRESS IN A LEADING ROLE","Suspicion","yes"
1941,"ACTRESS IN A LEADING ROLE","Blossoms in the Dust","no"
1941,"ACTRESS IN A LEADING ROLE","Ball of Fire","no"
1941,"ACTRESS IN A SUPPORTING ROLE","How Green Was My Valley","no"
1941,"ACTRESS IN A SUPPORTING ROLE","The Great Lie","yes"
