Year,Category,Nominee,Additional.Info,Won.
1936 (9th),DANCE DIRECTION,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld,yes
1936 (9th),DANCE DIRECTION,Dave Gould,Swingin' the Jinx number from Born to Dance,no
1936 (9th),DANCE DIRECTION,Jack Haskell,Skating Ensemble number from One in a Million,no
1936 (9th),DANCE DIRECTION,Russell Lewis,The Finale number from Dancing Pirate,no
1936 (9th),DANCE DIRECTION,Hermes Pan,Bojangles of Harlem number from Swing Time,no
1936 (9th),DIRECTING,Dodsworth,William Wyler,no
1936 (9th),DIRECTING,The Great Ziegfeld,Robert Z. Leonard,no
1936 (9th),DIRECTING,Mr. Deeds Goes to Town,Frank Capra,yes
1936 (9th),DIRECTING,My Man Godfrey,Gregory La Cava,no
1936 (9th),DIRECTING,San Francisco,W. S. Van Dyke,no
1936 (9th),FILM EDITING,Anthony Adverse,Ralph Dawson,yes
1936 (9th),FILM EDITING,Come and Get It,Edward Curtiss,no
1936 (9th),FILM EDITING,The Great Ziegfeld,William S. Gray,no
1936 (9th),FILM EDITING,Lloyds of London,Barbara McLean,no
1936 (9th),FILM EDITING,A Tale of Two Cities,Conrad A. Nervig,no
1936 (9th),FILM EDITING,Theodora Goes Wild,Otto Meyer,no
1936 (9th),MUSIC (Song),Did I Remember from Suzy,Music by Walter Donaldson; Lyrics by Harold Adamson,no
1936 (9th),MUSIC (Song),I've Got You Under My Skin from Born to Dance,Music and Lyrics by Cole Porter,no
1936 (9th),MUSIC (Song),A Melody From The Sky from Trail of the Lonesome Pine,Music by Louis Alter; Lyrics by Sidney Mitchell,no
1936 (9th),MUSIC (Song),Pennies From Heaven from Pennies from Heaven,Music by Arthur Johnston; Lyrics by Johnny Burke,no
1936 (9th),MUSIC (Song),The Way You Look Tonight from Swing Time,Music by Jerome Kern; Lyrics by Dorothy Fields,yes
1936 (9th),MUSIC (Song),When Did You Leave Heaven from Sing; Baby; Sing,Music by Richard A. Whiting; Lyrics by Walter Bullock,no
1936 (9th),OUTSTANDING PRODUCTION,Anthony Adverse,Warner Bros.,no
1936 (9th),OUTSTANDING PRODUCTION,Dodsworth,Samuel Goldwyn Productions,no
1936 (9th),OUTSTANDING PRODUCTION,The Great Ziegfeld,Metro-Goldwyn-Mayer,yes
1936 (9th),OUTSTANDING PRODUCTION,Libeled Lady,Metro-Goldwyn-Mayer,no
1936 (9th),OUTSTANDING PRODUCTION,Mr. Deeds Goes to Town,Columbia,no
1936 (9th),OUTSTANDING PRODUCTION,Romeo and Juliet,Metro-Goldwyn-Mayer,no
1936 (9th),OUTSTANDING PRODUCTION,San Francisco,Metro-Goldwyn-Mayer,no
1936 (9th),OUTSTANDING PRODUCTION,The Story of Louis Pasteur,Cosmopolitan,no
1936 (9th),OUTSTANDING PRODUCTION,A Tale of Two Cities,Metro-Goldwyn-Mayer,no
1936 (9th),OUTSTANDING PRODUCTION,Three Smart Girls,Universal,no
1936 (9th),SHORT SUBJECT (Cartoon),The Country Cousin,Walt Disney; Producer,yes
1936 (9th),SHORT SUBJECT (Cartoon),Old Mill Pond,Harman-Ising,no
1936 (9th),SHORT SUBJECT (Cartoon),Sinbad the Sailor,Paramount,no
1936 (9th),SHORT SUBJECT (Color),Give Me Liberty,Warner Bros.,yes
1936 (9th),SHORT SUBJECT (Color),La Fiesta de Santa Barbara,Lewis Lewyn; Producer,no
1936 (9th),SHORT SUBJECT (Color),Popular Science J-6-2,Paramount,no
1936 (9th),SHORT SUBJECT (One-reel),Bored of Education,Hal Roach; Producer,yes
1936 (9th),SHORT SUBJECT (One-reel),Moscow Moods,Paramount,no
1936 (9th),SHORT SUBJECT (One-reel),Wanted; a Master,Pete Smith; Producer,no
1936 (9th),SHORT SUBJECT (Two-reel),Double or Nothing,Warner Bros.,no
1936 (9th),SHORT SUBJECT (Two-reel),Dummy Ache,RKO Radio,no
1936 (9th),SHORT SUBJECT (Two-reel),The Public Pays,Metro-Goldwyn-Mayer,yes
1936 (9th),SOUND RECORDING,Banjo on My Knee,20th Century-Fox Studio Sound Department; E. H. Hansen; Sound Director,no
1936 (9th),SOUND RECORDING,The Charge of the Light Brigade,Warner Bros. Studio Sound Department; Nathan Levinson; Sound Director,no
1936 (9th),SOUND RECORDING,Dodsworth,United Artists Studio Sound Department; Thomas T. Moulton; Sound Director,no
1936 (9th),SOUND RECORDING,General Spanky,Hal Roach Studio Sound Department; Elmer A. Raguse; Sound Director,no
