"Year","AwardSeason","Category","CategoryType","Nominee","Additional Info","Won"
"2012","85","FILM EDITING",NA,"LIFE OF PI","Tim Squyres","NO"
"2012","85","FILM EDITING",NA,"LINCOLN","Michael Kahn","NO"
"2012","85","FILM EDITING",NA,"SILVER LININGS PLAYBOOK","Jay Cassidy and Crispin Struthers","NO"
"2012","85","FILM EDITING",NA,"ZERO DARK THIRTY","Dylan Tichenor and William Goldenberg","NO"
"2012","85","FOREIGN LANGUAGE FILM",NA,"AMOUR","Austria","YES"
"2012","85","FOREIGN LANGUAGE FILM",NA,"KON-TIKI","Norway","NO"
"2012","85","FOREIGN LANGUAGE FILM",NA,"NO","Chile","NO"
"2012","85","FOREIGN LANGUAGE FILM",NA,"A ROYAL AFFAIR","Denmark","NO"
"2012","85","FOREIGN LANGUAGE FILM",NA,"WAR WITCH","Canada","NO"
"2012","85","MAKEUP AND HAIRSTYLING",NA,"HITCHCOCK","Howard Berger; Peter Montagna and Martin Samuel","NO"
"2012","85","MAKEUP AND HAIRSTYLING",NA,"THE HOBBIT: AN UNEXPECTED JOURNEY","Peter Swords King; Rick Findlater and Tami Lane","NO"
"2012","85","MAKEUP AND HAIRSTYLING",NA,"LES MISÉRABLES","Lisa Westcott and Julie Dartnell","YES"
"2012","85","MUSIC","Original Score","ANNA KARENINA","Dario Marianelli","NO"
"2012","85","MUSIC","Original Score","ARGO","Alexandre Desplat","NO"
"2012","85","MUSIC","Original Score","LIFE OF PI","Mychael Danna","YES"
"2012","85","MUSIC","Original Score","LINCOLN","John Williams","NO"
"2012","85","MUSIC","Original Score","SKYFALL","Thomas Newman","NO"
"2012","85","MUSIC","Original Song","""BEFORE MY TIME"" FROM CHASING ICE","Music and Lyric by J. Ralph","NO"
"2012","85","MUSIC","Original Song","""EVERYBODY NEEDS A BEST FRIEND"" FROM TED","Music by Walter Murphy; Lyric by Seth MacFarlane","NO"
"2012","85","MUSIC","Original Song","""PI'S LULLABY"" FROM LIFE OF PI","Music by Mychael Danna; Lyric by Bombay Jayashri","NO"
"2012","85","MUSIC","Original Song","""SKYFALL"" FROM SKYFALL","Music and Lyric by Adele Adkins and Paul Epworth","YES"
"2012","85","MUSIC","Original Song","""SUDDENLY"" FROM LES MISÉRABLES","Music by Claude-Michel Schönberg; Lyric by Herbert Kretzmer and Alain Boublil","NO"
"2012","85","BEST PICTURE",NA,"AMOUR","Margaret Menegoz; Stefan Arndt; Veit Heiduschka and Michael Katz; Producers","NO"
"2012","85","BEST PICTURE",NA,"ARGO","Grant Heslov; Ben Affleck and George Clooney; Producers","YES"
"2012","85","BEST PICTURE",NA,"BEASTS OF THE SOUTHERN WILD","Dan Janvey; Josh Penn and Michael Gottwald; Producers","NO"
"2012","85","BEST PICTURE",NA,"DJANGO UNCHAINED","Stacey Sher; Reginald Hudlin and Pilar Savone; Producers","NO"
"2012","85","BEST PICTURE",NA,"LES MISÉRABLES","Tim Bevan; Eric Fellner; Debra Hayward and Cameron Mackintosh; Producers","NO"
"2012","85","BEST PICTURE",NA,"LIFE OF PI","Gil Netter; Ang Lee and David Womark; Producers","NO"
"2012","85","BEST PICTURE",NA,"LINCOLN","Steven Spielberg and Kathleen Kennedy; Producers","NO"
"2012","85","BEST PICTURE",NA,"SILVER LININGS PLAYBOOK","Donna Gigliotti; Bruce Cohen and Jonathan Gordon; Producers","NO"
"2012","85","BEST PICTURE",NA,"ZERO DARK THIRTY","Mark Boal; Kathryn Bigelow and Megan Ellison; Producers","NO"
"2012","85","PRODUCTION DESIGN",NA,"ANNA KARENINA","Production Design: Sarah Greenwood; Set Decoration: Katie Spencer","NO"
"2012","85","PRODUCTION DESIGN",NA,"THE HOBBIT: AN UNEXPECTED JOURNEY","Production Design: Dan Hennah; Set Decoration: Ra Vincent and Simon Bright","NO"
"2012","85","PRODUCTION DESIGN",NA,"LES MISÉRABLES","Production Design: Eve Stewart; Set Decoration: Anna Lynch-Robinson","NO"
"2012","85","PRODUCTION DESIGN",NA,"LIFE OF PI","Production Design: David Gropman; Set Decoration: Anna Pinnock","NO"
"2012","85","PRODUCTION DESIGN",NA,"LINCOLN","Production Design: Rick Carter; Set Decoration: Jim Erickson","YES"
"2012","85","SHORT FILM","Animated","ADAM AND DOG","Minkyu Lee","NO"
"2012","85","SHORT FILM","Animated","FRESH GUACAMOLE","PES","NO"
"2012","85","SHORT FILM","Animated","HEAD OVER HEELS","Timothy Reckart and Fodhla Cronin O'Reilly","NO"
"2012","85","SHORT FILM","Animated","MAGGIE SIMPSON IN ""THE LONGEST DAYCARE""","David Silverman","NO"
"2012","85","SHORT FILM","Animated","PAPERMAN","John Kahrs","YES"
"2012","85","SHORT FILM","Live Action","ASAD","Bryan Buckley and Mino Jarjoura","NO"
"2012","85","SHORT FILM","Live Action","BUZKASHI BOYS","Sam French and Ariel Nasr","NO"
"2012","85","SHORT FILM","Live Action","CURFEW","Shawn Christensen","YES"
"2012","85","SHORT FILM","Live Action","DEATH OF A SHADOW (DOOD VAN EEN SCHADUW)","Tom Van Avermaet and Ellen De Waele","NO"
"2012","85","SHORT FILM","Live Action","HENRY","Yan England","NO"
"2012","85","SOUND EDITING",NA,"ARGO","Erik Aadahl and Ethan Van der Ryn","NO"
"2012","85","SOUND EDITING",NA,"DJANGO UNCHAINED","Wylie Stateman","NO"
"2012","85","SOUND EDITING",NA,"LIFE OF PI","Eugene Gearty and Philip Stockton","NO"
"2012","85","SOUND EDITING",NA,"SKYFALL","Per Hallberg and Karen Baker Landers","YES"
"2012","85","SOUND EDITING",NA,NA,NA,"NO"
"2012","85","SOUND EDITING",NA,"ZERO DARK THIRTY","Paul N.J. Ottosson","YES"
"2012","85","SOUND EDITING",NA,NA,NA,"NO"
"2012","85","SOUND MIXING",NA,"ARGO","John Reitz; Gregg Rudloff and Jose Antonio Garcia","NO"
"2012","85","SOUND MIXING",NA,"LES MISÉRABLES","Andy Nelson; Mark Paterson and Simon Hayes","YES"
"2012","85","SOUND MIXING",NA,"LIFE OF PI","Ron Bartlett; D.M. Hemphill and Drew Kunin","NO"
"2012","85","SOUND MIXING",NA,"LINCOLN","Andy Nelson; Gary Rydstrom and Ronald Judkins","NO"
"2012","85","SOUND MIXING",NA,"SKYFALL","Scott Millan; Greg P. Russell and Stuart Wilson","NO"
"2012","85","VISUAL EFFECTS",NA,"THE HOBBIT: AN UNEXPECTED JOURNEY","Joe Letteri; Eric Saindon; David Clayton and R. Christopher White","NO"
"2012","85","VISUAL EFFECTS",NA,"LIFE OF PI","Bill Westenhofer; Guillaume Rocheron; Erik-Jan De Boer and Donald R. Elliott","YES"
"2012","85","VISUAL EFFECTS",NA,"MARVEL'S THE AVENGERS","Janek Sirrs; Jeff White; Guy Williams and Dan Sudick","NO"
"2012","85","VISUAL EFFECTS",NA,"PROMETHEUS","Richard Stammers; Trevor Wood; Charley Henley and Martin Hill","NO"
"2012","85","VISUAL EFFECTS",NA,"SNOW WHITE AND THE HUNTSMAN","Cedric Nicolas-Troyan; Philip Brennan; Neil Corbould and Michael Dawson","NO"
"2012","85","WRITING","Adapted Screenplay","ARGO","Screenplay by Chris Terrio","YES"
"2012","85","WRITING","Adapted Screenplay","BEASTS OF THE SOUTHERN WILD","Screenplay by Lucy Alibar & Benh Zeitlin","NO"
"2012","85","WRITING","Adapted Screenplay","LIFE OF PI","Screenplay by David Magee","NO"
"2012","85","WRITING","Adapted Screenplay","LINCOLN","Screenplay by Tony Kushner","NO"
"2012","85","WRITING","Adapted Screenplay","SILVER LININGS PLAYBOOK","Screenplay by David O. Russell","NO"
"2012","85","WRITING","Original Screenplay","AMOUR","Written by Michael Haneke","NO"
"2012","85","WRITING","Original Screenplay","DJANGO UNCHAINED","Written by Quentin Tarantino","YES"
"2012","85","WRITING","Original Screenplay","FLIGHT","Written by John Gatins","NO"
"2012","85","WRITING","Original Screenplay","MOONRISE KINGDOM","Written by Wes Anderson & Roman Coppola","NO"
"2012","85","WRITING","Original Screenplay","ZERO DARK THIRTY","Written by Mark Boal","NO"
"2012","85","JEAN HERSHOLT HUMANITARIAN AWARD",NA,"JEFFREY KATZENBERG",NA,"YES"
